Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
10/21/2009,377.404,98.8088,53.7405,392.8582,42.2854,65.0518,7.8431,12.3786,11.2088,3.6662,43.3137,16.2087,143.2475,22.4391,65.2526,21.8187,134.0939,52.465,24.9429,67.9948,146.9234,91.686,41.218,154.0571,244.3826,56.9694,224.5118,424.8869,68.6009,248.6162,456.6756,41.2668,529.1251,34.5123,60.7633,192.1155,127.3454,285.9592,406.7248,441.7519,410.785,398.1481,242.16,246.9539,192.0543,273.4729,490.7375,697.1416,702.5776,1319.5418,1337.9676,1701.3812,1767.7733,1762.3965,1775.5114,1775.1101,1865.3367,1910.2786
10/22/2009,470.6099,119.6639,75.2141,479.7308,53.9781,79.3437,9.6565,15.0969,13.5401,4.4263,53.3028,19.8461,176.0818,44.3612,94.5485,27.6217,164.3463,64.7408,37.6026,98.9159,180.3778,113.4474,58.2717,191.8614,302.8322,92.3776,280.5173,544.7021,109.7912,324.2553,596.4631,49.1217,694.2705,41.9751,73.4026,349.4757,114.9727,288.1577,399.3622,479.3233,436.4226,422.8235,298.5106,299.5133,255.5719,397.6872,681.7476,937.596,948.895,1763.917,1804.2356,2285.1795,2367.3916,2370.7132,2394.4956,2404.8736,2527.0868,2628.5227
10/23/2009,69.7717,12.5097,23.3525,56.0627,9.8594,9.1416,1.2496,1.7373,1.3683,0.4442,6.8602,2.3988,22.3626,49.7421,33.6442,4.7093,20.0635,8.5813,15.2629,35.5482,22.4599,15.5049,18.8832,28.0288,42.0693,45.5462,42.3083,102.8699,52.4011,69.1881,128.5395,56.8829,153.8884,49.1763,51.8303,524.3511,119.1547,283.4115,366.5849,459.3843,468.6075,449.8399,360.6419,337.5781,296.7676,367.7905,429.7391,465.2567,474.3367,662.0652,693.3923,807.3122,818.0989,833.9255,848.8992,866.4355,897.319,982.24
10/24/2009,72.7613,18.7815,10.9736,74.9779,8.2477,12.4072,1.5029,2.3608,2.1281,0.6959,8.2985,3.0979,27.4282,34.0411,13.5563,4.2375,25.6423,10.0654,5.298,14.1933,28.1046,17.6163,8.4709,29.6899,46.9879,12.6333,43.3172,83.0693,15.0037,49.008,89.8845,68.9723,104.3728,56.3778,61.2937,570.9571,168.3547,255.0426,324.9689,398.2141,463.1965,469.9574,408.4225,375.1647,320.3572,334.9332,377.8914,417.4482,419.0578,541.3389,546.2661,618.8033,631.5127,631.5102,634.3387,635.2658,653.4074,665.623
10/25/2009,95.0537,24.2374,15.0387,97.08,10.8802,16.0583,1.9528,3.0556,2.7429,0.8967,10.779,4.0154,35.6109,19.4826,18.8531,5.5709,33.2463,13.0885,7.4757,19.7056,36.4899,22.9308,11.6426,38.7633,61.1963,18.2668,56.6544,109.7467,21.7162,65.2235,119.9675,107.1849,139.5336,68.8322,75.0926,424.2805,274.0835,207.2158,299.7886,355.068,414.3963,448.5741,441.4451,421.7305,348.2035,366.2597,423.0486,474.6571,476.3815,639.8623,647.424,743.8952,760.5412,760.7361,765.4954,767.3097,791.7585,810.8696
10/26/2009,38.4800895,384.6261517,7.885962045,39.19324102,182.9839083,217.9473236,20.28172979,2.382085716,5.827571205,133.8593633,6.667054341,10.28173246,21.24818395,132.1384415,102.436283,3.531513469,13.90169569,13.0596152,5.614212989,101.4147255,19.65810694,13.3323702,6.656479413,20.88846993,17.78035627,13.88737479,91.09981958,37.81904872,19.97569267,107.1781361,49.21373503,119.0487575,156.7888478,156.5461674,148.4601253,230.7827047,373.3548443,304.3816623,353.7666739,324.3380096,271.7326216,13.6200046,14.22092385,673.7466615,437.6592907,408.678533,170.2319697,437.2528333,456.558051,371.6893032,498.8013664,550.7255199,575.8824026,681.6567479,681.603438,686.2452935,562.7459211,562.7459211
10/27/2009,44.4921,11.7818,6.0317,46.7094,4.9386,7.7381,0.9294,1.4726,1.3384,0.4379,5.1332,1.9246,16.9824,1.4733,8.5398,2.7864,16.6204,6.3098,4.0221,16.3326,18.2188,11.3898,6.1511,19.4859,30.0783,9.5925,28.4008,52.5807,12.4064,38.1229,60.1707,130.5388,73.6566,119.7098,123.2007,192.0614,230.9458,310.1055,304.44,334.9508,280.0798,162.471,11.5879,15.9641,490.3044,452.3357,496.9205,513.2037,513.6627,602.027,602.6899,644.3561,652.3731,652.6631,655.9259,658.1645,681.6918,686.2927
10/28/2009,70.3045,18.0351,10.8667,72.1106,8.0081,11.9295,1.4479,2.2699,2.042,0.6674,7.9936,2.9816,26.4181,5.0211,13.5308,4.1067,24.6613,9.6963,5.3198,14.1584,27.0688,16.9924,8.396,28.6676,45.3036,12.8565,41.8912,80.7042,15.3088,47.866,87.9132,152.6703,102.2219,129.6309,134.316,204.326,230.9173,321.1677,304.5833,328.6281,322.9799,291.4238,17.4356,19.7229,454.5086,515.3998,557.8819,596.8697,597.6605,718.3288,722.672,794.6876,806.959,806.7819,809.7234,809.3928,827.2509,840.686
10/29/2009,951.6437,251.2901,130.5842,996.7346,105.8736,165.0981,19.8505,31.417,28.526,9.3315,109.6411,41.0913,362.7248,37.3053,156.6286,54.7704,339.8418,132.7035,58.9916,163.0879,372.1832,231.7147,99.8017,388.6105,617.374,130.806,565.7972,1062.4175,158.4215,618.3335,1135.427,177.4421,1313.7917,151.7536,218.6863,337.8071,229.6268,334.964,305.9132,384.8193,334.302,333.0847,67.1393,85.9739,248.303,626.7356,1172.8512,1702.0341,1715.5323,3249.3995,3290.7476,4195.212,4363.8059,4346.3486,4376.2933,4370.3246,4595.1729,4687.9769
10/30/2009,414.1401,96.8478,85.7325,397.9661,50.4787,65.5958,8.2034,12.4776,10.8737,3.549,45.2207,16.5927,148.8974,75.8037,114.6129,25.2944,137.8043,55.3474,48.5772,120.5041,151.9839,97.734,67.6621,168.2526,261.9625,132.1534,248.1684,514.7484,154.4165,319.2637,589.145,199.8673,692.7706,176.7274,201.1313,628.661,223.388,349.3424,308.0161,431.0577,371.9344,350.345,160.43,158.0814,155.7651,477.1237,763.8471,990.4621,1014.934,1842.8794,1923.3337,2418.771,2489.6552,2518.159,2558.8385,2595.6728,2726.084,2932.4044
