Date,Reach,Mean,Std
2011-10-27 00:00:00,29,43.4749022,7.738384499999999
2002-10-02 00:00:00,30,240.8378869,44.54364301020409
2002-11-11 00:00:00,30,2066.712467,404.8776535714286
2003-10-04 00:00:00,30,363.0017519,66.75648954081632
2004-04-29 00:00:00,30,132.5349974,24.654519760204085
2004-07-02 00:00:00,30,96.11937385,14.463212714285714
2004-08-19 00:00:00,30,274.8791899,50.76105780612244
2004-09-04 00:00:00,30,198.3368515,35.4227655612245
2004-10-06 00:00:00,30,611.0045201,112.42215214285714
2005-04-16 00:00:00,30,440.7337006,83.60573943877553
2005-06-19 00:00:00,30,98.45537994,15.21780455612245
2005-07-05 00:00:00,30,175.5860753,29.903878418367352
2005-07-14 00:00:00,30,235.0147446,43.313080459183674
2005-07-21 00:00:00,30,253.8506096,47.454279846938796
2005-08-06 00:00:00,30,349.8331832,64.04755198979593
2005-08-15 00:00:00,30,300.1573686,55.53924321428571
2005-08-31 00:00:00,30,236.3713246,44.14548198979592
2005-11-10 00:00:00,30,1267.395698,233.84468260204088
2006-05-05 00:00:00,30,167.8525957,30.229801785714287
2006-05-21 00:00:00,30,125.5347698,23.261424831632652
2006-06-06 00:00:00,30,101.5386711,16.08862750510204
2006-07-08 00:00:00,30,147.6183505,26.350157397959187
2007-05-01 00:00:00,30,130.0790624,23.70957557653061
2007-05-08 00:00:00,30,177.640691,32.60211602040817
2007-07-04 00:00:00,30,100.1326177,15.625160122448982
2007-07-11 00:00:00,30,140.3137244,24.991422117346943
2007-07-20 00:00:00,30,210.8543891,39.61188591836735
2007-07-27 00:00:00,30,391.9183776,73.91574556122447
2007-09-13 00:00:00,30,230.3141884,44.389002500000004
2008-04-17 00:00:00,30,471.7417753,88.05032280612245
2008-06-20 00:00:00,30,261.8544557,50.780830510204076
2008-07-13 00:00:00,30,185.1364666,32.69101882653061
2008-07-29 00:00:00,30,230.9136425,42.34234719387756
2008-08-07 00:00:00,30,429.1538581,78.55517642857143
2008-08-23 00:00:00,30,404.8355168,74.93695760204083
2008-09-08 00:00:00,30,219.167205,40.60949617346938
2008-09-15 00:00:00,30,297.779513,59.248773622448994
2008-10-26 00:00:00,30,721.4409493,133.9647413265306
2009-05-29 00:00:00,30,151.3760692,27.510414693877557
2009-06-30 00:00:00,30,129.332342,23.272991540816317
2009-07-16 00:00:00,30,198.6255377,36.04918969387755
2009-07-25 00:00:00,30,250.4955663,47.02354479591838
2009-08-01 00:00:00,30,305.9086609,55.83343301020409
2009-08-26 00:00:00,30,588.6888691,110.03365035714282
2009-09-02 00:00:00,30,817.1354737,157.63144540816333
2009-09-27 00:00:00,30,286.3246898,51.31563306122448
2010-07-12 00:00:00,30,97.26188891,14.092198397959187
2010-07-28 00:00:00,30,163.9970719,30.208521887755097
2010-08-20 00:00:00,30,297.8376943,55.75747846938776
2010-09-30 00:00:00,30,421.9728974,76.92163443877553
2010-10-07 00:00:00,30,494.0727181,93.8736973469388
2010-11-01 00:00:00,30,505.2238205,91.37304760204084
2011-09-08 00:00:00,30,169.1840966,31.47686979591837
2011-09-24 00:00:00,30,103.8893946,17.063721739795923
2011-10-03 00:00:00,30,446.799372,82.44363408163265
2011-10-26 00:00:00,30,186.2829605,34.12448770408164
2002-10-26 00:00:00,31,311.9636687,71.1215681122449
2002-11-11 00:00:00,31,359.2627504,80.2501131632653
